"","team_id","location","nickname","slug"
"1","77c57737-b688-4bbf-a127-7b7f0ef8bcdd","Arizona","Cardinals","nfl-ari"
"2","c1618ca6-3dad-485d-b237-ad34f8d0bf83","Atlanta","Falcons","nfl-atl"
"3","15cdbc22-7b1e-4012-a731-987ca52e3c05","Baltimore","Ravens","nfl-bal"
"4","50990622-f5d7-4597-b9b3-c73c9be32af2","Buffalo","Bills","nfl-buf"
"5","767f5024-184b-434b-9e52-90bb4375ca84","Carolina","Panthers","nfl-car"
"6","009ff336-845b-411b-8ee5-9b3089e99398","Chicago","Bears","nfl-chi"
"7","6bb48096-ca08-40e3-8dd2-2d93d96e346e","Cincinnati","Bengals","nfl-cin"
"8","ecf6a705-7a54-4f36-9dcd-09a0c53e733b","Cleveland","Browns","nfl-cle"
"9","d61f132b-29f6-4140-847b-efb50ea9ccba","Dallas","Cowboys","nfl-dal"
"10","6e1ae482-bd5e-40b3-a2d8-24c0a9eec333","Denver","Broncos","nfl-den"
"11","82fedbfa-8c2c-46cc-b02f-ea16abf5ffc9","Detroit","Lions","nfl-det"
"12","ade9a19b-3dfb-4436-aefd-e54f1c0d1a20","Green Bay","Packers","nfl-gb"
"13","545d6178-62b4-4e6e-a118-60e4f66d257d","Houston","Texans","nfl-hou"
"14","557d1013-6b50-4998-885b-d121af071867","Indianapolis","Colts","nfl-ind"
"15","0fc8a1cb-bb61-4eba-b448-1d313813f0d1","Jacksonville","Jaguars","nfl-jac"
"16","3a857729-4c8c-4dde-9cad-359cab5990de","Kansas City","Chiefs","nfl-kc"
"17","d1f76207-7303-484f-a25f-b00d1eb46ecd","Los Angeles","Chargers","nfl-lac"
"18","3f53d6c3-46ae-4a68-833e-fc29c8ecbdb2","Los Angeles","Rams","nfl-stl"
"19","49b7f5ba-da40-4b42-be4b-c68b4f9257e8","Miami","Dolphins","nfl-mia"
"20","273bc0eb-8984-4474-bbc8-5cce491aa662","Minnesota","Vikings","nfl-min"
"21","5546974d-27c2-4d93-a63e-d8320952e871","New England","Patriots","nfl-ne"
"22","a192531d-e60c-4256-8220-f3538dd8b020","New Orleans","Saints","nfl-no"
"23","8112be50-1ec2-47c0-ab27-b4fc4654aa5b","New York","Jets","nfl-nyj"
"24","47b8904b-4d56-481a-ab06-6e56dfe59f78","New York","Giants","nfl-nyg"
"25","bf836ba5-77d0-4125-aa8a-ab785705eb29","Oakland","Raiders","nfl-oak"
"26","9990f062-0d8d-4dbf-82cc-73f3d5dfe532","Philadelphia","Eagles","nfl-phi"
"27","e5796fc5-4c5e-486d-a76d-5879fd2f5117","Pittsburgh","Steelers","nfl-pit"
"28","62b050a0-42c8-4cdd-aaaf-1ee5bbb01bf3","San Francisco","49ers","nfl-sf"
"29","e6094723-20f3-417a-87d2-1ccc0b7a6388","Seattle","Seahawks","nfl-sea"
"30","0d0cfd49-bea6-4ad0-a263-5a350865b99e","Tampa Bay","Buccaneers","nfl-tb"
"31","a8004516-b1d9-44df-b6ba-d5e4b7d9d1d7","Tennessee","Titans","nfl-ten"
"32","1c4f553a-bde3-4229-8565-9c40401a9956","Washington","Redskins","nfl-was"
